"subject" "activityName" "time_or_freq" "accleration" "instrument" "jerk_measure" "Magnitude_measure" "mean_or_std" "axis" "Average"
1 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.22159824394
15 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.2894756525
2 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.281373403958333
17 "LAYING" "Time" "Body" "Acclerometer" "N" "N" "Mean" "X" 0.269780085577465
7 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.00228835208526316
21 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0459323393842308
18 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0399399716026786
11 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0426928995457627
20 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0234104225980392
22 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0007771571
26 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.00334085938813559
6 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.025509618645614
19 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0274970979894231
14 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.00347655062271186
29 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.00795668167188679
27 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.08558835714
4 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0317982557795
3 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0256405192517241
30 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0459505355861538
13 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0174207634701754
9 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0808360598653846
12 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.1045136708758
1 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.041830963526
8 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0235088228254167
23 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0631156870355932
25 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0156305378067568
5 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0488919896632143
28 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.105896207861111
10 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0106894976215094
24 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0545126870724138
15 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0554883847662963
16 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0151721912792157
2 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0530258157347458
17 "WALKING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.00922265519180328
3 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0721980309322034
1 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.050549379754717
21 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.062608688893617
23 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0957940245941176
13 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.13829376226
20 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0659193258862745
22 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.13497880785381
4 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0393825198942308
12 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0931234101769231
9 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.16396719
7 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.138778108029412
11 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0820909701727778
2 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0576912634583333
6 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0767406825588235
25 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0556121923307692
5 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0395191121489362
18 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0470683915017241
15 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0903340029875
26 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0247950825654545
8 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.19270447595122
27 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0940344886803922
14 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0813841685037037
16 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0718408878078431
28 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.129362970764706
24 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0883163772152542
17 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0304250571395833
29 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0931989463020408
10 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0733447168425532
19 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0388537087875
30 "WALKING_UPSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.00355974576923077
3 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.13157327645102
13 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.122672201757447
7 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.105409612961702
14 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0147079653333333
20 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.111367747557778
18 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0576548655654545
9 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0916383011071429
11 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.12506869905
24 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0867069010690909
22 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0779611213138889
19 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.205775427307692
6 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0960837437708333
15 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.136618653071429
17 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.0677728390673913
1 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0350781902989796
21 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.126388023595556
23 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0578230190203704
25 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" 0.00299112856551724
4 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.102838822533333
26 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.010752208236
5 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.068294569906383
8 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.121189625973684
29 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0374126070957292
27 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.159826551905227
10 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.124839594289474
16 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0225373369978723
12 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.112531564434783
28 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.141096309502174
30 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0745591301759677
2 "WALKING_DOWNSTAIRS" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.11594735287234
3 "SITTING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0385365204807692
29 "SITTING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.0379271112333333
4 "SITTING" "Time" NA "Gryroscope" "N" "N" "Mean" "X" -0.04944351156
